UploadLink,BCIPN,Description,Level,Type,Username,bcipnParent,SrNo,ComputedRohsStatus,Justification,BOMUploadDate,ParentSrNo,Site,cpkey,JustificationForRoHSParent,comments
"ADDITIONAL ITEM_BOM","ADDITIONAL ITEM","ADDITIONAL ITEM",0,Manufactured,yomata,,"ADDITIONAL ITEM_0","PN Not Found",NULL,"25-11-2017",,Japan,,NULL,NULL
"ADDITIONAL ITEM_BOM",MU516200,"W Rack NE Assy",1,Purchased,yomata,"ADDITIONAL ITEM",MU516200_1,Compliant,NULL,NULL,"ADDITIONAL ITEM_0",Japan,"ADDITIONAL ITEM.MU516200",NULL,NULL
"ADDITIONAL ITEM_BOM",MU516300,"B Rack NE Assy",1,Purchased,yomata,"ADDITIONAL ITEM",MU516300_2,Compliant,NULL,NULL,"ADDITIONAL ITEM_0",Japan,"ADDITIONAL ITEM.MU516300",NULL,NULL
"ADDITIONAL ITEM_BOM",MU516400,"G Rack NE Assy",1,Purchased,yomata,"ADDITIONAL ITEM",MU516400_3,Compliant,NULL,NULL,"ADDITIONAL ITEM_0",Japan,"ADDITIONAL ITEM.MU516400",NULL,NULL
"ADDITIONAL ITEM_BOM",MU516500,"R Rack NE",1,Purchased,yomata,"ADDITIONAL ITEM",MU516500_4,Compliant,NULL,NULL,"ADDITIONAL ITEM_0",Japan,"ADDITIONAL ITEM.MU516500",NULL,NULL
"ADDITIONAL ITEM_BOM",MU516600,"Y Rack NE Assy",1,Purchased,yomata,"ADDITIONAL ITEM",MU516600_5,Compliant,NULL,NULL,"ADDITIONAL ITEM_0",Japan,"ADDITIONAL ITEM.MU516600",NULL,NULL
"ADDITIONAL ITEM_BOM",MU516700,"O Rack NE Assy",1,Purchased,yomata,"ADDITIONAL ITEM",MU516700_6,Compliant,NULL,NULL,"ADDITIONAL ITEM_0",Japan,"ADDITIONAL ITEM.MU516700",NULL,NULL
"ADDITIONAL ITEM_BOM",MD050900,Label,1,Purchased,yomata,"ADDITIONAL ITEM",MD050900_7,Compliant,NULL,NULL,"ADDITIONAL ITEM_0",Japan,"ADDITIONAL ITEM.MD050900",NULL,NULL
"ADDITIONAL ITEM_BOM",ME535700,Adapter,1,Purchased,yomata,"ADDITIONAL ITEM",ME535700_8,Compliant,NULL,NULL,"ADDITIONAL ITEM_0",Japan,"ADDITIONAL ITEM.ME535700",NULL,NULL
"ADDITIONAL ITEM_BOM",MF527000,"R Label-LDPE",1,Purchased,yomata,"ADDITIONAL ITEM",MF527000_9,Compliant,NULL,NULL,"ADDITIONAL ITEM_0",Japan,"ADDITIONAL ITEM.MF527000",NULL,NULL
"ADDITIONAL ITEM_BOM",MF527100,"R Label-PP",1,Purchased,yomata,"ADDITIONAL ITEM",MF527100_10,Compliant,NULL,NULL,"ADDITIONAL ITEM_0",Japan,"ADDITIONAL ITEM.MF527100",NULL,NULL
"ADDITIONAL ITEM_BOM",MF738800,"Rack ID Label",1,Purchased,yomata,"ADDITIONAL ITEM",MF738800_11,Compliant,NULL,NULL,"ADDITIONAL ITEM_0",Japan,"ADDITIONAL ITEM.MF738800",NULL,NULL
"ADDITIONAL ITEM_BOM",MZ022400,"Rack box",1,Purchased,yomata,"ADDITIONAL ITEM",MZ022400_12,Compliant,NULL,NULL,"ADDITIONAL ITEM_0",Japan,"ADDITIONAL ITEM.MZ022400",NULL,NULL
"ADDITIONAL ITEM_BOM",MZ023900,"Rack Box",1,Purchased,yomata,"ADDITIONAL ITEM",MZ023900_13,Compliant,NULL,NULL,"ADDITIONAL ITEM_0",Japan,"ADDITIONAL ITEM.MZ023900",NULL,NULL
"ADDITIONAL ITEM_BOM",MU919400,"Na Electrode A&T (1 ea.)",1,"Resale PurchLot Expiry",yomata,"ADDITIONAL ITEM",MU919400_14,Compliant,NULL,NULL,"ADDITIONAL ITEM_0",Japan,"ADDITIONAL ITEM.MU919400",NULL,NULL
"ADDITIONAL ITEM_BOM",MU919500,"K Electrode A&T (1 ea.)",1,"Resale PurchLot Expiry",yomata,"ADDITIONAL ITEM",MU919500_15,Compliant,NULL,NULL,"ADDITIONAL ITEM_0",Japan,"ADDITIONAL ITEM.MU919500",NULL,NULL
